Filename: n5delta1212spd / run at Thu Jan 23 19:45:53 CET 2014
fails: 10 / suboptimals: 0
Time horizon: 10numberOfPlants=5
seed=1337
deltaPenalties=1.2
deltaViolation=1.2
numberOfRuns=50
dominanceProperty=0
so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;vcrel1;vcrel0;vcrel2;pra1;pra2;pdiff;pra0;
0.0;8594.55979038963;0.0;7162.133158658038;68.0;0.0;1.0476602767520307;54.0;104.0;43.0;87.0;121.0;7503.4824071345765;0.30714285714285716;0.4857142857142857;0.38571428571428573;3.4186046511627906;3.1296296296296298;0.859504132231405;2.823529411764706;
0.0;5401.553790866628;0.0;4501.294825722183;106.0;0.0;1.0;112.0;231.0;94.0;193.0;221.0;4501.294825722183;0.5875;0.6625;0.7;2.7127659574468086;2.5357142857142856;1.0452488687782806;2.6226415094339623;
0.0;2278.971633024104;0.0;1899.143027520071;128.0;0.0;1.0000656476291478;63.0;110.0;51.0;92.0;214.0;1899.2677017572405;0.3;0.7529411764705882;0.37058823529411766;2.843137254901961;2.6825396825396823;0.514018691588785;2.46875;
0.0;1536.1850527222791;0.0;1401.9587380436096;97.0;0.0;1.0000000000000002;48.0;108.0;38.0;90.0;207.0;1401.9587380436099;0.25333333333333335;0.6466666666666666;0.32;3.289473684210526;2.9375;0.5217391304347826;2.6597938144329896;
0.0;198.2525641319478;0.0;165.21047010997177;92.0;0.0;1.0;17.0;57.0;14.0;49.0;220.0;165.21047010997177;0.1;0.6571428571428571;0.12142857142857143;4.785714285714286;4.294117647058823;0.2590909090909091;2.5869565217391304;
0.0;1737.2906265272454;0.0;1447.7421887726882;94.0;0.0;1.0000000000000018;46.0;103.0;34.0;86.0;201.0;1447.742188772691;0.22666666666666666;0.6266666666666667;0.30666666666666664;3.264705882352941;2.891304347826087;0.5124378109452736;2.6595744680851063;
0.0;11824.52991146454;0.0;9853.774926220449;103.0;0.0;1.0155321092467582;79.0;181.0;62.0;151.0;235.0;10006.824834867472;0.3875;0.64375;0.49375;3.2419354838709675;2.949367088607595;0.7702127659574468;2.6893203883495147;
0.0;3037.20776467544;0.0;2531.0064705628715;92.0;0.0;0.9999999999999986;27.0;68.0;19.0;58.0;196.0;2531.006470562868;0.12666666666666668;0.6133333333333333;0.18;4.315789473684211;3.4814814814814814;0.3469387755102041;2.619565217391304;
0.0;1336.5403819992416;0.0;1113.7836516660427;80.0;0.0;1.0049710500129296;30.0;78.0;23.0;65.0;172.0;1119.320325902058;0.16428571428571428;0.5714285714285714;0.21428571428571427;4.0;3.566666666666667;0.45348837209302323;2.55;
0.0;8110.795978348146;0.0;6758.996648623446;102.0;0.0;1.0935503128738597;74.0;168.99999999999972;60.0;141.0;225.0;7391.302899815539;0.4;0.68;0.49333333333333335;2.966666666666667;2.7162162162162162;0.7511111111111098;2.411764705882353;
0.0;3677.1918150854317;0.0;3064.3265125711773;131.0;0.0;1.0200271277560542;96.0;213.00000000000017;81.0;179.0;285.0;3125.696171124704;0.4764705882352941;0.7705882352941177;0.5647058823529412;2.432098765432099;2.3333333333333335;0.7473684210526321;2.1526717557251906;
0.0;6331.676030289329;0.0;5276.396691907759;91.0;0.0;1.0631373496238143;49.0;106.0;39.0;89.0;175.0;5609.534394598677;0.26;0.6066666666666667;0.32666666666666666;3.1538461538461537;2.857142857142857;0.6057142857142858;2.32967032967033;
0.0;2993.9674440947238;0.0;2494.9728700789206;83.0;0.0;1.0434379416685287;36.0;97.0;30.0;81.0;181.0;2603.3493560739703;0.2;0.5533333333333333;0.24;3.3;3.0833333333333335;0.5359116022099447;2.36144578313253;
0.0;4711.239500505789;0.0;3926.032917088161;109.0;0.0;1.0481244909833722;69.0;138.0;58.0;115.0;218.0;4114.971252806993;0.3411764705882353;0.6411764705882353;0.40588235294117647;2.603448275862069;2.463768115942029;0.6330275229357798;2.2477064220183487;
0.0;3184.656568912479;0.0;2653.8804740937467;111.0;0.0;1.0686456319509061;46.0;124.0;37.0;104.0;263.0;2836.0577763600822;0.23125;0.69375;0.2875;3.2432432432432434;2.9347826086956523;0.4714828897338403;2.315315315315315;
0.0;9896.772313436206;0.0;8247.310261196839;84.0;0.0;1.0500824181873418;56.0;98.0;45.0;82.0;136.0;8660.355502618855;0.3;0.56;0.37333333333333335;2.933333333333333;2.732142857142857;0.7205882352941176;2.4166666666666665;
