so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;pra1;pra2;pdiff;pra0;
0.0;1247.6372667126461;0.0;959.7209743943422;85.0;0.0;1.000000000000002;38.0;108.0;29.0;90.0;212.0;959.720974394344;0.7;0.8;0.5094339622641509;1.4266666666666667;
0.0;2803.6422322393523;0.0;2156.6478709533553;86.0;0.0;1.0756218823423571;34.0;99.0;28.0;83.0;210.99999999999864;2319.737642504485;0.6666666666666666;0.7466666666666667;0.46919431279621154;1.38;
0.0;4791.117098218902;0.0;3685.47469093762;123.0;0.0;1.0072976197059003;61.0;134.00000000000003;48.0;112.0;257.0;3712.369883667803;0.8235294117647058;0.9647058823529412;0.5214007782101169;1.6;
0.0;907.9067093974786;0.0;698.3897764595818;105.0;0.0;1.0000000000000007;44.0;103.0;37.0;86.0;227.0;698.3897764595822;0.70625;0.8;0.45374449339207046;1.6875;
0.0;4629.6476375161565;0.0;3561.267413473966;101.0;0.0;1.0008539448370295;46.0;106.0;37.0;89.0;209.0;3564.3085393949837;0.8466666666666667;0.9333333333333333;0.507177033492823;1.7333333333333334;
0.0;2720.6663175923677;0.0;2092.82024430183;117.0;0.0;1.0075000638897076;72.0;159.99999999999997;60.0;134.0;251.0;2108.516529843767;0.94375;1.075;0.6374501992031871;1.61875;
0.0;2356.9692966652037;0.0;1813.0533051270786;132.0;0.0;0.9999999999999994;63.0;160.0;52.0;134.0;308.0;1813.0533051270777;0.8875;1.0125;0.5194805194805194;1.91875;
0.0;582.9695722199285;0.0;448.4381324768656;102.0;0.0;0.999999999999998;33.0;80.99999999999996;27.0;69.00000000000017;223.0;448.43813247686467;0.6;0.68125;0.36322869955156933;1.61875;
0.0;5213.010008965487;0.0;4010.007699204222;117.0;0.0;1.0411305037252006;62.0;129.9999999999999;51.0;109.0;239.0;4174.941335814424;0.88125;1.0;0.543933054393305;1.6625;
0.0;825.9107686525763;0.0;635.3159758866063;114.0;0.0;1.028920523282571;47.0;127.0;38.0;106.0;271.0;653.6896463590243;0.7625;0.86875;0.46863468634686345;1.6625;
0.0;2990.3281215394277;0.0;2300.252401184177;94.0;0.0;1.065575868396016;44.0;106.00000000000001;36.0;89.0;215.0000000000037;2451.09344992185;0.7133333333333334;0.8066666666666666;0.49302325581394507;1.6;
0.0;2533.1194597516956;0.0;1948.5534305782076;103.0;0.0;1.0434073820798315;64.0;157.0;51.0;131.0;244.0;2033.1350338422822;0.89375;1.025;0.6434426229508197;1.4625;
0.0;1265.9511297089184;0.0;973.8085613145322;104.0;0.0;1.0000000000000004;49.0;121.0;37.0;101.0;221.0;973.8085613145327;0.74375;0.875;0.5475113122171946;1.60625;
0.0;19778.599894742805;0.0;15214.307611340619;111.0;0.0;1.0663194383621186;52.0;122.0;43.0;102.0;234.00000000000182;16223.311947193235;0.8125;0.88125;0.5213675213675173;1.65625;
0.0;2901.886340226752;0.0;2232.2202617128855;117.0;0.0;1.0000000000000004;67.0;165.0;54.0;138.0;273.0;2232.2202617128864;0.90625;1.04375;0.6043956043956044;1.6375;
0.0;1523.800392146803;0.0;1172.1541478052363;126.0;0.0;0.9999999999999977;71.0;153.0;56.0;129.0;245.00000000000003;1172.1541478052336;0.8647058823529412;1.035294117647059;0.6244897959183673;1.6294117647058823;
0.0;1486.8058860637295;0.0;1143.696835433653;115.0;0.0;1.0000994874790095;100.0;194.0000000000002;81.0;163.0;217.0;1143.8106189485613;1.24375;1.4625;0.8940092165898627;1.65625;
0.0;4370.210345457772;0.0;3361.700265736747;118.0;0.0;1.0498704002524417;62.0;144.99999999999997;51.0;121.0;271.9999999999595;3529.349603517778;0.9;1.01875;0.5330882352941969;1.8;
0.0;654.0753637978225;0.0;503.13489522907935;105.0;0.0;1.0000000000000009;36.0;92.0;29.0;77.0;226.0;503.1348952290798;0.6;0.68125;0.40707964601769914;1.43125;
0.0;913.0714603449678;0.0;702.3626618038211;137.0;0.0;1.0000000000000013;50.0;130.0;41.0;109.0;316.0;702.362661803822;0.7625;0.8625;0.41139240506329117;1.98125;
0.0;784.0846286149354;0.0;603.1420220114701;143.0;0.0;1.0;59.0;138.0;46.0;115.0;295.0;603.1420220114701;0.7647058823529411;0.8941176470588236;0.46779661016949153;1.8941176470588235;
0.0;718.748991552086;0.0;552.8838396554686;114.0;0.0;1.0000000000000004;56.0;141.00000000000114;47.0;119.0;253.0;552.8838396554688;0.8375;0.9625;0.5573122529644313;1.66875;
0.0;3646.261596432583;0.0;2804.8166126404576;92.0;0.0;1.0176698700775824;48.0;103.99999999999994;41.0;87.0;186.0;2854.377357777259;0.7266666666666667;0.8533333333333334;0.5591397849462363;1.4933333333333334;
0.0;809.225750269814;0.0;622.4813463613759;113.0;0.0;1.0000000000000007;44.0;111.0;35.0;93.0;259.0;622.4813463613764;0.6176470588235294;0.7;0.42857142857142855;1.4705882352941178;
0.0;1728.9021329503373;0.0;1329.9247176541223;96.0;0.0;1.017486595945741;45.0;116.0;35.0;97.0;229.0;1353.1805738299938;0.72;0.8333333333333334;0.5065502183406113;1.5866666666666667;
0.0;447.9862464938676;0.0;344.60480499526716;74.0;0.0;1.0000000000000027;35.0;103.0;28.0;86.0;177.9999999999999;344.60480499526807;0.7142857142857143;0.85;0.5786516853932588;1.5571428571428572;
0.0;7484.180773733997;0.0;5757.062133641539;107.0;0.0;1.147921484458199;51.0;132.0;41.0;110.0;253.0;6608.655310567882;0.7625;0.875;0.5217391304347826;1.4875;
0.0;3441.8219925076746;0.0;2647.5553788520538;99.0;0.0;1.054341011034654;44.0;104.0;36.0;87.0;226.0;2791.426214909111;0.71875;0.80625;0.46017699115044247;1.5;
0.0;1910.4535120030066;0.0;1469.5796246177163;71.0;0.0;1.1218305526160468;28.0;78.00000000000001;20.0;64.99999999999967;146.0;1648.6193223981752;0.58;0.68;0.5342465753424659;1.1866666666666668;
0.0;210.2931499007177;0.0;161.76396146210982;76.0;0.0;0.9999999999999986;21.0;68.0;17.0;57.0;176.0;161.7639614621096;0.5571428571428572;0.6142857142857143;0.38636363636363635;1.55;
0.0;11299.84256858703;0.0;8692.186591220798;138.0;0.0;1.0231746721759347;61.0;134.0;49.0;112.0;290.0;8893.625165964395;0.8;0.9411764705882353;0.46206896551724136;1.8470588235294119;
0.0;723.5436935913626;0.0;556.5720719933397;95.0;0.0;1.0000000000000016;51.0;110.0;41.0;91.99999999995153;194.0;556.5720719933406;0.7625;0.8875;0.5670103092783505;1.5125;
0.0;7424.139664458323;0.0;5710.876664967945;102.0;0.0;1.1064649161157147;57.0;115.00000000000004;44.0;96.0;206.0;6318.884670050949;0.7470588235294118;0.8941176470588236;0.5582524271844662;1.388235294117647;
0.0;2502.94956393529;0.0;1925.3458184117621;91.0;0.0;1.0524880370199057;47.0;102.0;37.0;85.0;171.0;2026.4034410046793;0.74;0.8533333333333334;0.5964912280701754;1.36;
0.0;5495.1185840052785;0.0;4227.014295388673;124.0;0.0;1.0234279275815052;39.0;111.0;31.0;93.0;297.00000000000205;4326.044480187027;0.625;0.71875;0.37373737373737115;1.84375;
0.0;190.6623124767475;0.0;146.66331728982368;122.0;0.0;0.9999999999999938;47.0;121.0;37.0;101.0;258.0;146.66331728982277;0.70625;0.875;0.4689922480620155;1.84375;
0.0;1631.2848141906784;0.0;1254.8344724543804;58.0;0.0;1.0683690589662154;36.0;97.0;29.0;81.0;140.0;1340.6263244944537;0.7142857142857143;0.8071428571428572;0.6928571428571428;1.2142857142857142;
0.0;1385.5029645270424;0.0;1065.771511174633;88.0;0.0;0.9999999999999987;39.0;99.0;28.0;83.0;181.0;1065.7715111746315;0.64;0.7533333333333333;0.5469613259668509;1.4733333333333334;
0.0;3660.0928974919707;0.0;2815.456074993821;102.0;0.0;1.0009713571606997;62.0;150.0;49.0;125.0;229.0;2818.190888412902;0.85625;1.0;0.6550218340611353;1.475;
0.0;162.83487466506995;0.0;125.25759589620793;112.0;0.0;1.0000000000000144;47.0;119.0;42.0;102.0;266.0;125.25759589620975;0.81875;0.89375;0.4473684210526316;1.79375;
0.0;2074.1161548723558;0.0;1595.4739652864073;131.0;0.0;1.082556668704257;62.0;145.0;53.0;121.0;283.0;1727.1909808648243;0.8235294117647058;0.9176470588235294;0.5123674911660777;1.611764705882353;
0.0;4183.683637285011;0.0;3218.218182526952;108.0;0.0;1.1612995383689086;52.0;136.0;43.0;114.0;254.99999999999994;3737.3152897389778;0.7875;0.89375;0.5333333333333334;1.50625;
0.0;2817.362683355389;0.0;2167.2020641195077;122.0;0.0;1.0069308985163647;54.0;122.00000000000003;40.0;102.0;254.0;2182.222721690376;0.7176470588235294;0.8470588235294118;0.48031496062992135;1.7352941176470589;
0.0;1384.102086993028;0.0;1064.6939130715582;100.0;0.0;0.9999999999999983;54.0;122.0;39.0;102.0;197.0;1064.6939130715564;0.73125;0.88125;0.6192893401015228;1.5125;
0.0;533.41379655445;0.0;410.3183050418953;95.0;0.0;0.9999999999999998;56.0;128.0;44.0;107.0;210.0;410.3183050418952;0.8933333333333333;1.0066666666666666;0.6095238095238096;1.5733333333333333;
0.0;1483.6082313663615;0.0;1141.237101051056;93.0;0.0;1.1013652369401394;44.0;105.0;35.0;88.0;183.99999999970868;1256.9188702039742;0.70625;0.81875;0.570652173913947;1.43125;
0.0;541.071898193688;0.0;416.20915245665947;113.0;0.0;1.0000000000000044;43.0;105.0;32.0;88.0;238.0;416.2091524566613;0.65;0.76875;0.4411764705882353;1.675;
;;;;;;;;;;;;;;;;;
